label,threshold,objective,f1,precision,recall,false_positive_rate,false_negative_rate,tn,fp,fn,tp
abusive,0.37,harmful-content F1 with minimum precision floor 0.75,0.7950174199398654,0.7509015506671475,0.844640502991583,0.42665225447807287,0.155359497008417,3713,2763,1532,8329
Race,0.46,label-specific F1,0.7263120186279778,0.6791157260090437,0.78055822906641,0.17196194579070184,0.21944177093359,9226,1916,1140,4055
Religion,0.47,label-specific F1,0.8143579622548415,0.7657156112270935,0.8695995785036881,0.08053584243680727,0.1304004214963119,11531,1010,495,3301
Gender,0.54,label-specific F1,0.5112690969596128,0.467238042576721,0.5644622578490314,0.1444202952859177,0.4355377421509686,11416,1927,1304,1690
Sexual_Orientation,0.52,label-specific F1,0.7654573326520184,0.7133333333333334,0.8257993384785005,0.04145149073882807,0.17420066152149946,13921,602,316,1498
Miscellaneous,0.59,label-specific F1,0.497601323407775,0.473253618628068,0.5245901639344263,0.1242761692650334,0.47540983606557374,11796,1674,1363,1504
