label,threshold,objective,f1,precision,recall,false_positive_rate,false_negative_rate,tn,fp,fn,tp
abusive,0.46,harmful-content F1 with minimum precision floor 0.75,0.775500196155355,0.750830880258285,0.8018456545989251,0.4051883878937616,0.19815434540107493,3852,2624,1954,7907
Race,0.48,label-specific F1,0.7200369344413666,0.6919254658385093,0.750529355149182,0.15580685693771315,0.2494706448508181,9406,1736,1296,3899
Religion,0.49,label-specific F1,0.8090647301865531,0.7709377236936292,0.851159114857745,0.07654891954389602,0.148840885142255,11581,960,565,3231
Gender,0.49,label-specific F1,0.5270411985018727,0.47785927737027983,0.5875083500334002,0.14404556696395113,0.41249164996659987,11421,1922,1235,1759
Sexual_Orientation,0.49,label-specific F1,0.7744040150564617,0.710732381391064,0.850606394707828,0.043241754458445227,0.149393605292172,13895,628,271,1543
Miscellaneous,0.51,label-specific F1,0.5111940298507462,0.49752393529217565,0.5256365538890827,0.11299183370452859,0.47436344611091735,11948,1522,1360,1507
