label,threshold,objective,f1,precision,recall,false_positive_rate,false_negative_rate,tn,fp,fn,tp
abusive,0.49,harmful-content F1 with minimum precision floor 0.75,0.7939203860072377,0.7572717231222386,0.8342967244701349,0.407195799876467,0.16570327552986513,3839,2637,1634,8227
Race,0.33,label-specific F1,0.724600870827286,0.6851947160747984,0.7688161693936477,0.16469215580685695,0.23118383060635225,9307,1835,1201,3994
Religion,0.27,label-specific F1,0.8104927678352537,0.7579092159559835,0.8709167544783983,0.08420381149828562,0.1290832455216017,11485,1056,490,3306
Gender,0.26,label-specific F1,0.48948560336460695,0.47459222082810537,0.5053440213760855,0.12553398785880238,0.49465597862391447,11668,1675,1481,1513
Sexual_Orientation,0.21,label-specific F1,0.757172131147541,0.707177033492823,0.814773980154355,0.04214005370791159,0.185226019845645,13911,612,336,1478
Miscellaneous,0.24,label-specific F1,0.4732895970009372,0.42857142857142855,0.5284269271014999,0.14996288047512993,0.4715730728985002,11450,2020,1352,1515
