label,threshold,precision,recall,f1,support,false_positive_rate,false_negative_rate,tn,fp,fn,tp
abusive,0.47,0.7728952772073922,0.7653517690117934,0.7691050265631385,2459,0.35380678182981445,0.23464823098820659,1010,553,577,1882
Race,0.49,0.7343873517786561,0.7223950233281493,0.7283418267346139,1286,0.12280701754385964,0.2776049766718507,2400,336,357,929
Religion,0.48,0.7545454545454545,0.8290788013318535,0.790058170280275,901,0.07785966036526754,0.1709211986681465,2878,243,154,747
Gender,0.48,0.4934640522875817,0.6007957559681698,0.5418660287081339,754,0.14228886168910648,0.39920424403183025,2803,465,301,453
Sexual_Orientation,0.48,0.7522123893805309,0.8709016393442623,0.8072174738841406,488,0.039615166949632144,0.1290983606557377,3394,140,63,425
Miscellaneous,0.49,0.49863387978142076,0.5048409405255878,0.5017182130584192,723,0.11124583207032435,0.4951590594744122,2932,367,358,365
