model,harmful_precision,harmful_recall,harmful_f1,harmful_false_positive_rate,harmful_false_negative_rate,harmful_tn,harmful_fp,harmful_fn,harmful_tp,accuracy,subset_accuracy,hamming_loss,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_time_sec,predict_time_sec,threshold_abusive,oof_primary_f1,oof_primary_precision,oof_primary_recall,oof_primary_fpr,oof_selection_time_sec,cv_fold_f1_micro_mean,cv_fold_f1_micro_std
Logistic Regression,0.7578,0.8439,0.7985,0.4107,0.1561,954,665,385,2081,0.8355,0.3741,0.1645,0.6706,0.7703,0.717,0.6382,0.7364,0.6836,0.6734,0.7703,0.7184,6.45,0.6049,0.37,0.795,0.7509,0.8446,0.4267,50.976,0.6964,0.003
Linear SVM,0.7653,0.8224,0.7928,0.3842,0.1776,997,622,438,2028,0.8313,0.3657,0.1687,0.6682,0.7477,0.7057,0.6328,0.7122,0.6699,0.6721,0.7477,0.7076,8.33,0.5194,0.49,0.7939,0.7573,0.8343,0.4072,25.405,0.6739,0.0037
Random Forest,0.7342,0.8066,0.7687,0.4447,0.1934,899,720,477,1989,0.8357,0.3525,0.1643,0.6752,0.7563,0.7134,0.6493,0.7367,0.6899,0.6762,0.7563,0.7137,3.848,0.4077,0.46,0.7755,0.7508,0.8018,0.4052,22.223,0.6835,0.0045
