label,threshold,precision,recall,f1,support,false_positive_rate,false_negative_rate,tn,fp,fn,tp
abusive,0.49,0.762848751835536,0.8450589670597805,0.8018522091452827,2459,0.4133077415227127,0.1549410329402196,917,646,381,2078
Race,0.37,0.7186115214180206,0.7566096423017107,0.7371212121212121,1286,0.13925438596491227,0.24339035769828926,2355,381,313,973
Religion,0.3,0.7706237424547284,0.8501664816870145,0.8084432717678101,901,0.07305350849086831,0.14983351831298558,2893,228,135,766
Gender,0.25,0.4445701357466063,0.5212201591511937,0.47985347985347987,754,0.15024479804161567,0.47877984084880637,2777,491,361,393
Sexual_Orientation,0.23,0.745697896749522,0.7991803278688525,0.771513353115727,488,0.03763440860215054,0.20081967213114754,3401,133,98,390
Miscellaneous,0.23,0.42857142857142855,0.5228215767634855,0.47102803738317756,723,0.15277356774780237,0.47717842323651455,2795,504,345,378
