configuration,primary_f1_cv_mean,primary_f1_cv_std,benign_false_positive_rate_cv_mean,selection_utility_f1_minus_0.5_fpr
"C=0.5, class_weight=balanced",0.7884875365579144,0.007999027422509162,0.4063075545047168,0.585333759305556
"C=1.0, class_weight=balanced",0.7858312827227705,0.008996159610250892,0.4331727447339973,0.5692449103557718
"C=2.0, class_weight=balanced",0.782690486071527,0.006526488881919265,0.464352947154563,0.5505140124942456
"C=1.0, class_weight=None",0.7861003606414652,0.00950206050629244,0.4366905747644017,0.5677550732592643
