model,harmful_precision,harmful_recall,harmful_f1,harmful_false_positive_rate,harmful_false_negative_rate,harmful_tn,harmful_fp,harmful_fn,harmful_tp,accuracy,f1_micro,f1_macro,train_time_sec,predict_time_sec,threshold_abusive
Logistic Regression,0.8363,0.6897,0.756,0.2124,0.3103,1231,332,763,1696,0.8056,0.6761,0.6712,,,0.53
Linear SVM,0.8237,0.7296,0.7738,0.2457,0.2704,1179,384,665,1794,0.8262,0.6949,0.6756,,,0.59
Random Forest,0.8511,0.6251,0.7208,0.1721,0.3749,1294,269,922,1537,0.743,0.6202,0.6235,,,0.5
