label,threshold,precision,recall,f1,support
abusive,0.33,0.7459478505990134,0.8609190727938186,0.7993203700207665,2459
Race,0.46,0.6986803519061584,0.7410575427682737,0.7192452830188679,1286
Religion,0.48,0.7657952069716776,0.7802441731409545,0.7729521715228147,901
Gender,0.52,0.4373259052924791,0.41644562334217505,0.4266304347826087,754
Sexual_Orientation,0.49,0.7775467775467776,0.7663934426229508,0.7719298245614035,488
Miscellaneous,0.43,0.40352595494613125,0.5698478561549101,0.4724770642201835,723
